Date of Transaction,Transaction Amount,Account Name,TransactionID,Transaction Type,Location (City),Alert Category,Account Number,Status,Current Balance
2024-06-11,-3553,Account 93175,T897783,Transfer out,Sierratown,Fraud,4836890737,No Risk,0
2024-10-10,-5532,Account 82957,T211380,Transfer out,East Keith,Tax Evasion,1314819798,No Risk,0
2024-01-20,-3041,Account 53585,T941640,Transfer out,North Kelsey,Tax Evasion,9965764253,No Risk,0
2024-09-02,-9098,Account 99496,T218607,Transfer out,Lake Kristi,Investment Scam,4221286382,No Risk,6904
2024-07-19,-1438,Account 61497,T247180,Transfer out,North Anna,Money Laundering,1541823463,No Risk,0
2025-01-03,-4014,Account 103132,T626972,Transfer out,Jonesborough,Investment Scam,9120271468,Risk,0
2024-12-05,-4108,Account 99310,T266696,Transfer out,Watsonville,Money Laundering,8292217223,Risk,0
2024-11-01,-1661,Account 42262,T294190,Transfer out,Normamouth,Tax Evasion,3062585819,No Risk,0
2024-12-28,-1341,Account 32475,T951892,Transfer out,Shawnshire,Fraud,5388192419,No Risk,0
2024-06-13,-8103,Account 31881,T542243,Transfer out,Sandersland,Fraud,9416227789,No Risk,6127
2024-11-05,-6524,Account 53507,T914323,Transfer out,Jacobhaven,Money Laundering,6837570714,No Risk,0
2024-07-17,-8678,Account 6166,T723526,Transfer out,Smithfurt,Fraud,2019190591,No Risk,2653
2024-02-16,-537,Account 54458,T602075,Transfer out,South Glenmouth,Investment Scam,3916478377,No Risk,0
2024-06-13,-8164,Account 77946,T617642,Transfer out,North Walter,Tax Evasion,3313434059,No Risk,0
2024-05-16,-6872,Account 98821,T373540,Transfer out,Baileyhaven,Tax Evasion,3232684390,Risk,4355
2024-02-16,-4180,Account 19618,T630144,Transfer out,Lake Caitlynland,Money Laundering,6310847029,No Risk,0
2024-05-23,-4867,Account 56695,T688842,Transfer out,Longmouth,Investment Scam,5008195407,Risk,694
2024-07-16,-3574,Account 58982,T596613,Transfer out,Cunninghamstad,Money Laundering,5941115959,No Risk,0
2024-09-07,-656,Account 38711,T617155,Transfer out,Derrickfurt,Money Laundering,8735998993,Risk,0
2024-12-17,-9244,Account 7772,T229516,Transfer out,Tammychester,Investment Scam,9799687844,No Risk,9222
2024-12-16,-1307,Account 43808,T988007,Transfer out,Port Laurie,Investment Scam,6238012729,No Risk,0
2024-12-03,-6435,Account 93313,T893809,Transfer out,Port Jennifer,Money Laundering,2775986245,Risk,0
2024-09-22,-8945,Account 97774,T989043,Transfer out,Woodside,Investment Scam,9795471146,No Risk,3240
2024-11-26,-71,Account 75283,T205580,Transfer out,Sanchezberg,Tax Evasion,1972999423,No Risk,0
2024-12-20,-5801,Account 1118,T468454,Transfer out,Lake Randyville,Tax Evasion,3233437956,No Risk,120
2024-03-02,-8596,Account 56132,T974924,Transfer out,Port Benjamin,Tax Evasion,1276422253,No Risk,1555
2024-02-10,-7032,Account 48008,T218297,Transfer out,Garciamouth,Money Laundering,9551251668,No Risk,6443
2024-10-14,-8902,Account 88270,T269473,Transfer out,Porterside,Tax Evasion,5884734313,No Risk,6710
2024-11-07,-3726,Account 74494,T504513,Transfer out,Port Bryanfort,Fraud,6916148766,Risk,3672
2024-02-27,-8940,Account 21558,T712451,Transfer out,Matthewside,Investment Scam,9288536956,No Risk,0
2024-04-25,-8696,Account 27750,T297713,Transfer out,West Jenniferfort,Investment Scam,7978102941,No Risk,1235
2024-06-03,-6622,Account 57136,T993469,Transfer out,West Francesfurt,Fraud,9324822766,No Risk,0
2024-06-28,-588,Account 22477,T557176,Transfer out,Brianburgh,Money Laundering,5308442945,Risk,0
2024-04-18,-7813,Account 20379,T790247,Transfer out,Espinozamouth,Investment Scam,1216913533,No Risk,6424
2024-12-10,-3683,Account 62134,T398541,Transfer out,West Lindsey,Tax Evasion,4929596370,No Risk,2707
2024-11-05,-2446,Account 93729,T156400,Transfer out,Gregorychester,Fraud,1131801567,No Risk,0
2024-03-30,-8416,Account 57414,T884069,Transfer out,Traceymouth,Tax Evasion,2441922572,No Risk,3513
2024-02-09,-4283,Account 73081,T242391,Transfer out,Lisaville,Fraud,2553424545,No Risk,1203
2024-02-09,-6559,Account 65837,T293040,Transfer out,Kimhaven,Tax Evasion,3454851914,Risk,832
2024-03-01,-3776,Account 42047,T499445,Transfer out,Lake Erinchester,Fraud,7568775870,No Risk,1762
2024-06-21,-7561,Account 42491,T643204,Transfer out,Ericport,Money Laundering,6993743421,No Risk,7508
2024-08-27,-4129,Account 9949,T713376,Transfer out,Angelaport,Fraud,3172036252,No Risk,2684
2024-07-24,-7735,Account 68257,T505459,Transfer out,West Tanya,Investment Scam,1673408115,Risk,2748
2024-06-01,-806,Account 36896,T130494,Transfer out,North Joel,Investment Scam,3316686046,Risk,0
2024-08-24,-6596,Account 101718,T875478,Transfer out,West David,Tax Evasion,5572840414,No Risk,2715
2024-02-08,-5441,Account 84865,T472835,Transfer out,South Travis,Investment Scam,2323607189,Risk,0
2024-08-08,-7696,Account 47379,T234307,Transfer out,Gonzalezmouth,Tax Evasion,7151182598,No Risk,3998
2024-03-13,-9504,Account 56585,T985785,Transfer out,Port Claire,Fraud,9109968932,No Risk,0
2024-06-25,-8104,Account 82989,T840225,Transfer out,New Marieburgh,Fraud,9302486814,No Risk,5948
2024-08-17,-8289,Account 100223,T340006,Transfer out,East Melindaland,Money Laundering,5775056980,No Risk,1923
2024-10-30,-4800,Account 8680,T174963,Transfer out,Port Tracy,Investment Scam,7176341664,No Risk,42
2024-03-14,-7132,Account 63970,T213070,Transfer out,East Audrey,Tax Evasion,7942212192,Risk,4544
2024-04-06,-1097,Account 6214,T575139,Transfer out,Jefferyfort,Investment Scam,4667870703,No Risk,0
2024-11-04,-8039,Account 2257,T623260,Transfer out,Port Ashley,Money Laundering,9388912366,No Risk,4404
2024-09-07,-4553,Account 39649,T657272,Transfer out,Port Suestad,Fraud,6720799457,Risk,1396
2024-07-17,-23,Account 6171,T980978,Transfer out,Kimberlyberg,Fraud,4513241996,Risk,0
2024-08-10,-6558,Account 63935,T643678,Transfer out,Erikachester,Money Laundering,8584859416,No Risk,2556
2024-04-09,-4722,Account 63341,T888069,Transfer out,North Stefanie,Fraud,6761494736,No Risk,0
2024-08-05,-7208,Account 80779,T890370,Transfer out,South Michael,Money Laundering,5096877015,Risk,0
2024-05-06,-6821,Account 70942,T326059,Transfer out,North Kim,Tax Evasion,4456927878,No Risk,3644
2024-09-03,-3471,Account 12788,T795921,Transfer out,Stewartland,Money Laundering,7152093121,Risk,2686
2024-10-04,-2752,Account 83752,T610450,Transfer out,Dyerbury,Money Laundering,7857890043,No Risk,0
2024-12-01,-3044,Account 23158,T459748,Transfer out,North Kristen,Tax Evasion,9823781440,No Risk,0
2024-05-23,-5252,Account 53561,T483283,Transfer out,Robertborough,Tax Evasion,2877720480,No Risk,1936
2024-09-15,-7669,Account 51473,T366473,Transfer out,North Cameron,Investment Scam,8531535818,No Risk,0
2024-02-15,-896,Account 59957,T466685,Transfer out,Princefort,Investment Scam,1411667451,No Risk,0
2024-08-10,-2209,Account 53363,T814787,Transfer out,Nicoleside,Money Laundering,3401703271,No Risk,0
2024-05-26,-5154,Account 29434,T312282,Transfer out,East Scottchester,Fraud,2693833518,No Risk,0
2024-01-31,-1077,Account 2111,T167949,Transfer out,East Kara,Tax Evasion,5231692804,No Risk,976
2024-10-23,-2222,Account 102273,T703557,Transfer out,Alfredbury,Investment Scam,6106485722,No Risk,856
2024-07-29,-7403,Account 16132,T125491,Transfer out,Port Juan,Tax Evasion,2417637053,No Risk,0
2024-05-17,-6895,Account 92461,T962174,Transfer out,Crawfordchester,Fraud,3377871399,No Risk,0
2024-09-07,-3387,Account 97217,T656895,Transfer out,West Lisa,Fraud,6078871089,No Risk,0
2024-04-08,-4049,Account 3529,T529667,Transfer out,Martinton,Money Laundering,4513158390,Risk,0
2025-01-14,-1569,Account 33017,T282211,Transfer out,Lake David,Tax Evasion,5206745041,No Risk,496
2024-09-04,-8214,Account 36366,T860825,Transfer out,North Danielle,Fraud,4726618215,No Risk,5758
2024-12-14,-9191,Account 107591,T868106,Transfer out,Sparksberg,Fraud,9269178257,No Risk,0
2024-12-24,-7565,Account 98906,T639979,Transfer out,Obrienmouth,Investment Scam,8783183132,No Risk,4920
2024-08-09,-5604,Account 74915,T911925,Transfer out,Danielleton,Money Laundering,5587904655,No Risk,0
2024-12-14,-7346,Account 5641,T887100,Transfer out,Danielville,Money Laundering,5690271097,No Risk,4498
2024-12-22,-4465,Account 12070,T562961,Transfer out,North Lauramouth,Investment Scam,7948334996,No Risk,4071
2024-09-11,-6060,Account 85042,T466102,Transfer out,East Wendy,Money Laundering,3052695908,No Risk,0
2024-12-21,-6267,Account 68882,T987838,Transfer out,Port Sean,Investment Scam,5865897772,No Risk,3340
2025-01-08,-7846,Account 21617,T490568,Transfer out,West Martha,Investment Scam,6740242927,No Risk,1733
2024-10-18,-9777,Account 8039,T660322,Transfer out,East Kenneth,Tax Evasion,3270628465,No Risk,5406
2024-07-01,-2749,Account 69648,T795963,Transfer out,Pamelabury,Tax Evasion,8767654704,No Risk,0
2025-01-05,-1123,Account 51245,T713389,Transfer out,Jasminechester,Money Laundering,3330113391,Risk,0
2024-07-16,-8827,Account 7304,T673757,Transfer out,West Nataliechester,Fraud,5865458281,No Risk,601
2024-05-30,-1092,Account 62759,T182530,Transfer out,Lake Jessicafort,Tax Evasion,7704804443,No Risk,0
2024-05-11,-8801,Account 91636,T762479,Transfer out,Michaelside,Money Laundering,9609558066,Risk,7565
2024-09-30,-4522,Account 49331,T907379,Transfer out,Cesarchester,Investment Scam,4462702681,No Risk,0
2024-05-13,-3480,Account 17134,T849546,Transfer out,North Denisehaven,Tax Evasion,1935670114,No Risk,0
2024-05-22,-9942,Account 88161,T541802,Transfer out,Leonstad,Tax Evasion,5457321887,No Risk,6237
2024-01-22,-9022,Account 26927,T130864,Transfer out,Port Matthewport,Money Laundering,4422597577,No Risk,0
2024-04-28,-3600,Account 21020,T578272,Transfer out,North Ronald,Tax Evasion,7313042199,Risk,585
2024-02-16,-8654,Account 102089,T207817,Transfer out,Taylorside,Fraud,4876716022,No Risk,4962
2024-09-17,-2252,Account 50652,T857323,Transfer out,Brettville,Fraud,5195526583,No Risk,0
2024-07-25,-2008,Account 78148,T365034,Transfer out,Everettfurt,Money Laundering,4429976101,Risk,685
2024-03-02,-2838,Account 45977,T898392,Transfer out,New David,Money Laundering,5686974013,No Risk,1291
2024-01-24,-5537,Account 27785,T206887,Transfer out,Michaelport,Fraud,4728324839,No Risk,4054
2024-08-06,-1916,Account 58987,T221603,Transfer out,Brianburgh,Investment Scam,7186221576,No Risk,0
2024-04-13,-5809,Account 106326,T563545,Transfer out,Dayton,Tax Evasion,4055996779,No Risk,5675
2024-10-03,-2166,Account 13446,T670000,Transfer out,Lake Courtney,Money Laundering,3169239694,No Risk,699
2024-08-13,-27,Account 99869,T654201,Transfer out,South Eric,Tax Evasion,2582733335,No Risk,0
2024-02-09,-5062,Account 107320,T126285,Transfer out,Vanessaborough,Fraud,5630534594,No Risk,0
2025-01-02,-701,Account 101536,T442992,Transfer out,East Kurt,Fraud,2094497483,No Risk,0
2024-02-11,-9252,Account 65760,T191362,Transfer out,Stevensview,Tax Evasion,3678087659,No Risk,5311
2024-09-03,-1855,Account 36084,T791052,Transfer out,West Derekland,Money Laundering,2792019491,No Risk,0
2024-02-11,-4460,Account 19932,T725283,Transfer out,Maloneside,Tax Evasion,7533097271,No Risk,0
2024-10-26,-4313,Account 19522,T972750,Transfer out,Ortizhaven,Fraud,8319200770,No Risk,0
2024-06-23,-8205,Account 107903,T287822,Transfer out,Masonborough,Money Laundering,6158527375,No Risk,1590
2024-03-22,-8031,Account 7333,T131170,Transfer out,South Tammyport,Fraud,9077233305,No Risk,6022
2024-04-27,-3819,Account 96977,T435140,Transfer out,Jamesfort,Investment Scam,2079330672,No Risk,0
2024-06-11,-8275,Account 74423,T495166,Transfer out,New Paige,Money Laundering,9428928026,Risk,6079
2024-03-09,-1124,Account 86181,T803246,Transfer out,Greentown,Investment Scam,6987731423,No Risk,0
2024-06-04,-2224,Account 85601,T583018,Transfer out,South Christophermouth,Money Laundering,6242571974,No Risk,0
2024-02-11,-5899,Account 3582,T809664,Transfer out,Lake Alexandrialand,Money Laundering,4697604362,No Risk,2730
2024-08-05,-1503,Account 69288,T576769,Transfer out,Joseland,Fraud,8629717237,No Risk,0
2024-05-07,-4866,Account 7324,T447350,Transfer out,New Rodneyton,Investment Scam,8563241781,Risk,4461
2024-07-23,-8061,Account 92775,T972755,Transfer out,Johnnyview,Money Laundering,5573425099,Risk,0
2024-02-05,-8105,Account 78738,T573356,Transfer out,Holtside,Fraud,1629976233,Risk,1862
2024-07-20,-3112,Account 53370,T542917,Transfer out,North Jenniferborough,Money Laundering,3075903874,No Risk,0
2024-03-23,-5048,Account 25707,T584819,Transfer out,Zacharyborough,Investment Scam,6531513784,No Risk,0
2024-06-16,-3963,Account 104007,T783642,Transfer out,East Jorgeburgh,Fraud,7089638432,No Risk,0
2024-07-22,-3153,Account 88768,T514688,Transfer out,South Davidshire,Money Laundering,8493326269,Risk,654
2024-07-20,-75,Account 105162,T391688,Transfer out,Phillipsburgh,Fraud,9405060719,No Risk,0
2024-07-07,-8515,Account 51320,T690625,Transfer out,Staceyport,Money Laundering,4587579403,Risk,7494
2024-09-24,-2305,Account 90482,T892615,Transfer out,Kurtburgh,Fraud,3951580741,No Risk,0
2024-11-04,-2824,Account 11259,T913755,Transfer out,Davisport,Investment Scam,1378286469,No Risk,0
2024-11-10,-1949,Account 31841,T101507,Transfer out,Port Amandaton,Investment Scam,4281168396,Risk,0
2024-11-18,-9410,Account 84809,T725279,Transfer out,Chrisberg,Money Laundering,7086041543,No Risk,6719
2024-05-25,-5013,Account 94522,T712831,Transfer out,Peterberg,Money Laundering,5661769347,No Risk,0
2024-07-07,-8632,Account 91197,T700715,Transfer out,Petershire,Money Laundering,6417572151,No Risk,2342
2024-10-24,-734,Account 6907,T509090,Transfer out,North Susanville,Tax Evasion,2173863548,No Risk,0
2025-01-01,-7271,Account 78775,T724464,Transfer out,Robertfurt,Money Laundering,2659203360,No Risk,1365
2025-01-02,-2293,Account 104909,T382613,Transfer out,New Robert,Investment Scam,9640034790,No Risk,0
2024-04-04,-906,Account 39822,T454593,Transfer out,East Beth,Tax Evasion,1411077502,No Risk,0
2024-03-01,-9932,Account 51993,T991261,Transfer out,Lake Jeremy,Money Laundering,6109514860,No Risk,8011
2024-05-20,-7645,Account 103502,T191630,Transfer out,Leeborough,Tax Evasion,2879173048,No Risk,7221
2024-11-27,-7863,Account 83036,T533640,Transfer out,Millerview,Money Laundering,3796119472,No Risk,3157
2024-05-22,-5681,Account 11655,T138848,Transfer out,South Mariaborough,Money Laundering,1937281210,No Risk,4052
2024-02-05,-7472,Account 51911,T518575,Transfer out,Adamsmouth,Tax Evasion,7725574125,No Risk,6885
2024-05-22,-7100,Account 74782,T168059,Transfer out,North Lauren,Tax Evasion,1324672243,No Risk,2135
2024-12-12,-8539,Account 101738,T435780,Transfer out,Cherylview,Tax Evasion,5043136311,No Risk,0
2024-02-12,-9279,Account 2962,T512340,Transfer out,Wendymouth,Money Laundering,4899900261,No Risk,3253
2024-03-29,-6284,Account 103924,T221370,Transfer out,Donaldbury,Fraud,1275443576,No Risk,0
2024-08-22,-1094,Account 51275,T361445,Transfer out,West Ericamouth,Money Laundering,9680053416,No Risk,0
2024-05-29,-3125,Account 12413,T993271,Transfer out,East Sara,Tax Evasion,4307128912,Risk,1404
2024-07-16,-5997,Account 23873,T725524,Transfer out,Barkerfort,Investment Scam,9395314411,No Risk,0
2024-03-28,-7032,Account 78822,T456253,Transfer out,North Loganburgh,Investment Scam,5113189776,No Risk,0
2024-01-16,-5258,Account 62841,T175073,Transfer out,Port Ronald,Tax Evasion,8451723695,No Risk,0
2024-04-21,-3290,Account 34472,T405207,Transfer out,South Betty,Tax Evasion,2487413095,Risk,0
2024-01-25,-1552,Account 55454,T305687,Transfer out,West Phillipchester,Investment Scam,5957411519,No Risk,658
2024-05-14,-8496,Account 50608,T443948,Transfer out,Stephentown,Tax Evasion,4149514396,No Risk,5539
2024-06-08,-5492,Account 15852,T703102,Transfer out,Anthonyfurt,Fraud,5715577513,Risk,265
2024-12-08,-1014,Account 92033,T316654,Transfer out,East Tinaport,Fraud,9027957378,Risk,0
2024-01-29,-4448,Account 26733,T604700,Transfer out,Merrittstad,Fraud,2423800464,Risk,0
2024-10-31,-1057,Account 65399,T153919,Transfer out,West Danielle,Money Laundering,8720602683,No Risk,0
2025-01-08,-7459,Account 36446,T187760,Transfer out,Lake Maryborough,Investment Scam,9937133526,No Risk,6854
2024-12-26,-8474,Account 25848,T305436,Transfer out,Lindsayton,Fraud,4355563464,No Risk,5694
2024-09-13,-8548,Account 72532,T995105,Transfer out,New Maria,Fraud,9571962769,No Risk,158
2024-03-31,-4888,Account 49702,T551117,Transfer out,Whiteshire,Tax Evasion,4577580770,No Risk,0
2024-05-15,-4692,Account 94294,T562833,Transfer out,Jeremyberg,Money Laundering,3519604698,No Risk,0
2024-10-19,-3660,Account 21434,T769685,Transfer out,South Ebonyshire,Fraud,1405974788,Risk,282
2024-06-18,-7029,Account 94113,T817702,Transfer out,Rebeccastad,Tax Evasion,1286435322,No Risk,351
2024-11-11,-6949,Account 14072,T142502,Transfer out,East Roberttown,Fraud,7681774873,No Risk,3125
2024-12-09,-7759,Account 71775,T504390,Transfer out,Armstrongmouth,Money Laundering,4071988868,No Risk,2445
2024-12-01,-7779,Account 12605,T952875,Transfer out,Reillyton,Tax Evasion,2712129433,No Risk,5462
2024-06-09,-4611,Account 43002,T664507,Transfer out,East Jodi,Fraud,1949272156,No Risk,1018
2024-05-27,-2560,Account 107915,T748161,Transfer out,New Damon,Fraud,1057639482,Risk,0
2024-05-18,-7178,Account 57696,T568848,Transfer out,West Amandaport,Money Laundering,3537687531,No Risk,0
2024-11-19,-3850,Account 46113,T715750,Transfer out,Carrfort,Money Laundering,8045945816,No Risk,1506
2024-07-24,-3001,Account 57606,T765884,Transfer out,Goodwinfort,Fraud,8085541885,No Risk,0
2024-08-04,-4411,Account 32149,T810964,Transfer out,Oliviahaven,Investment Scam,7784164363,No Risk,2657
2024-09-10,-2381,Account 32640,T864246,Transfer out,East Carl,Fraud,2345604165,No Risk,0
2024-08-22,-5178,Account 56314,T591912,Transfer out,Leestad,Tax Evasion,3022330039,Risk,2022
2024-05-19,-221,Account 42499,T459196,Transfer out,Port Davidport,Fraud,3554685425,Risk,0
2024-07-30,-1104,Account 45269,T903845,Transfer out,North James,Money Laundering,4646300549,No Risk,0
2024-12-16,-4077,Account 12886,T587490,Transfer out,South Vanessa,Investment Scam,5934440837,No Risk,1144
2024-05-18,-1455,Account 55829,T769163,Transfer out,Jacobport,Money Laundering,7287092152,No Risk,0
2024-02-23,-4193,Account 51643,T980874,Transfer out,Haysbury,Tax Evasion,5519574899,No Risk,3456
2025-01-13,-1754,Account 81415,T714968,Transfer out,South Timothy,Fraud,5992660625,No Risk,0
2024-11-27,-648,Account 91575,T113422,Transfer out,Anitafurt,Money Laundering,8801181647,No Risk,0
2024-12-08,-3824,Account 88141,T936033,Transfer out,Petersonmouth,Tax Evasion,8640519937,Risk,1520
2024-07-14,-3257,Account 4067,T859876,Transfer out,North Kevinstad,Fraud,6188789445,No Risk,0
2024-06-19,-3450,Account 57308,T985561,Transfer out,South Tiffanyhaven,Money Laundering,9035886196,No Risk,0
2024-07-08,-2590,Account 19713,T124811,Transfer out,South Donna,Investment Scam,2770741033,Risk,0
2024-01-19,-6112,Account 50291,T508867,Transfer out,Richardland,Investment Scam,1458700079,No Risk,5482
2024-05-21,-4992,Account 93585,T560300,Transfer out,New Briannamouth,Fraud,6667713093,No Risk,4644
2024-07-16,-2470,Account 45443,T680308,Transfer out,Port Stevenview,Tax Evasion,2356148478,Risk,0
2024-07-13,-9294,Account 90207,T274013,Transfer out,Erinmouth,Tax Evasion,5710673282,No Risk,9226
2024-03-02,-5956,Account 7324,T139820,Transfer out,Port Angela,Tax Evasion,8563241781,No Risk,0
2024-09-14,-5101,Account 9981,T745193,Transfer out,Lake Heathertown,Fraud,9553635691,No Risk,738
2024-02-07,-296,Account 93758,T404804,Transfer out,East Victoria,Fraud,8661320286,No Risk,0
2024-03-19,-5042,Account 59161,T320181,Transfer out,Davidfort,Fraud,7367605299,No Risk,0
2024-05-06,-4089,Account 93203,T215711,Transfer out,Lake Victoriatown,Money Laundering,6343118231,No Risk,0
2024-08-06,-9749,Account 67407,T486762,Transfer out,Port Shane,Money Laundering,2310198821,No Risk,2061
2024-12-17,-4021,Account 89430,T377016,Transfer out,East Edwardchester,Tax Evasion,8728617240,Risk,2771
2024-10-08,-8633,Account 2562,T335492,Transfer out,Kerrymouth,Investment Scam,3941405331,No Risk,330
2024-06-22,-1779,Account 77690,T229551,Transfer out,Davidport,Tax Evasion,5008722597,No Risk,0
2024-08-15,-6485,Account 77435,T316135,Transfer out,North Catherine,Money Laundering,9772783652,No Risk,0
2024-04-19,-9311,Account 7747,T174704,Transfer out,Campbellside,Tax Evasion,5090451812,No Risk,2132
2024-03-27,-8834,Account 29035,T119490,Transfer out,Port Brianfort,Money Laundering,9679610748,Risk,5238
2024-04-17,-239,Account 69401,T907751,Transfer out,West Michelle,Money Laundering,6784655410,No Risk,0
2024-05-08,-9395,Account 71199,T551011,Transfer out,Wallacechester,Fraud,1511417082,No Risk,79
2024-09-12,-6928,Account 87127,T471432,Transfer out,Justinhaven,Investment Scam,8324227491,No Risk,2842
2024-12-26,-5151,Account 44994,T716404,Transfer out,Robertville,Investment Scam,9159768223,Risk,0
2024-04-27,-5232,Account 25278,T416718,Transfer out,Andrewview,Money Laundering,6229286621,No Risk,0
2024-05-08,-1648,Account 20410,T949376,Transfer out,Vickiton,Tax Evasion,5544279533,No Risk,0
2024-11-22,-7392,Account 21437,T957319,Transfer out,Ochoaview,Tax Evasion,9846967048,No Risk,5308
2024-01-26,-1331,Account 54268,T395666,Transfer out,Mitchellmouth,Tax Evasion,3582462003,No Risk,7
2024-04-18,-7788,Account 83777,T659101,Transfer out,Lake Victoria,Investment Scam,6971501749,Risk,0
2024-06-21,-1092,Account 42674,T335145,Transfer out,Michaelmouth,Fraud,6484035394,No Risk,0
2024-08-07,-6813,Account 1348,T250562,Transfer out,North Donnaview,Money Laundering,9876962247,Risk,0
2024-09-22,-947,Account 94403,T620550,Transfer out,Stevensonburgh,Fraud,5075665297,No Risk,0
2024-07-26,-9534,Account 30838,T403652,Transfer out,Kirktown,Tax Evasion,9094923329,No Risk,166
2024-12-05,-2240,Account 6191,T254704,Transfer out,Lake Kristinestad,Investment Scam,3008234342,No Risk,1560
2024-05-22,-874,Account 46801,T526311,Transfer out,Colonton,Tax Evasion,7688328205,No Risk,0
2024-04-08,-979,Account 16317,T702182,Transfer out,Carriestad,Tax Evasion,9671980624,No Risk,0
2024-10-11,-6656,Account 59666,T919467,Transfer out,Lake Nicholasbury,Tax Evasion,8872889645,Risk,6593
2024-08-20,-8943,Account 38056,T640910,Transfer out,Sherylbury,Money Laundering,4502717871,No Risk,2673
2024-09-09,-5765,Account 80063,T817732,Transfer out,Gutierrezport,Money Laundering,3143927260,No Risk,0
2024-05-01,-9685,Account 19923,T885638,Transfer out,West Nicole,Money Laundering,8858198062,Risk,8928
2024-08-02,-3172,Account 58073,T593661,Transfer out,Kyleton,Fraud,3211475343,No Risk,0
2024-02-26,-9502,Account 21969,T797862,Transfer out,Nicoleport,Tax Evasion,1520893699,No Risk,9472
2024-10-28,-7298,Account 74761,T623832,Transfer out,Jorgehaven,Fraud,1221212109,Risk,0
2024-10-07,-9368,Account 105899,T411208,Transfer out,West Meganberg,Money Laundering,6395513910,No Risk,704
2024-09-24,-7606,Account 68427,T670864,Transfer out,Johnsonville,Investment Scam,9781632152,No Risk,2661
2024-11-30,-9230,Account 56638,T227011,Transfer out,North Amber,Tax Evasion,9279156238,No Risk,3081
2024-06-24,-3271,Account 61203,T124916,Transfer out,New Victoria,Fraud,9161344092,No Risk,0
2024-03-19,-6937,Account 60826,T636161,Transfer out,West Jennifer,Fraud,1649931686,No Risk,5000
2024-04-24,-4310,Account 39619,T961445,Transfer out,Christopherport,Fraud,2101561184,No Risk,3021
2024-08-12,-8888,Account 83543,T835494,Transfer out,Coxmouth,Investment Scam,9807224287,No Risk,369
2024-03-04,-5565,Account 19580,T221387,Transfer out,Cookstad,Fraud,1378086410,No Risk,0
2024-12-27,-462,Account 2202,T254020,Transfer out,New Debra,Tax Evasion,7807518071,No Risk,0
2024-09-09,-6265,Account 53632,T144807,Transfer out,Christopherchester,Money Laundering,2309675381,No Risk,0
2024-10-17,-7132,Account 31159,T904715,Transfer out,Grahamport,Money Laundering,3753262133,No Risk,1024
2024-05-15,-7060,Account 78250,T246789,Transfer out,Joshuamouth,Fraud,1068621467,No Risk,1859
2024-09-01,-1568,Account 34578,T201945,Transfer out,Johnsonmouth,Tax Evasion,2327164410,No Risk,0
2024-05-23,-2987,Account 29512,T462732,Transfer out,Hebertbury,Investment Scam,3799799066,No Risk,0
2024-09-01,-3643,Account 19795,T418097,Transfer out,Taylorberg,Investment Scam,9561782881,Risk,0
2024-02-03,-8882,Account 6813,T940447,Transfer out,Port Michaelstad,Tax Evasion,5715435641,Risk,2287
2025-01-07,-2172,Account 70875,T582372,Transfer out,Johnport,Tax Evasion,3565215993,No Risk,0
2025-01-15,-7761,Account 91448,T217191,Transfer out,Joshuaburgh,Tax Evasion,5782941294,No Risk,4120
2024-05-01,-7115,Account 4236,T960285,Transfer out,Zacharyberg,Tax Evasion,3964448531,Risk,7081
2024-12-10,-8123,Account 47533,T288902,Transfer out,Lake Jennifer,Fraud,3220101085,No Risk,5133
2024-10-29,-1905,Account 26826,T446036,Transfer out,Joelfurt,Money Laundering,3263812112,No Risk,228
2024-12-06,-273,Account 44418,T980460,Transfer out,East Kennethfurt,Fraud,5727601914,Risk,0
2024-09-05,-4504,Account 31708,T230375,Transfer out,New Lauren,Investment Scam,3095930365,No Risk,3375
2024-03-09,-3019,Account 86451,T328584,Transfer out,Daleburgh,Money Laundering,3724307818,No Risk,0
2024-05-12,-4296,Account 11182,T280559,Transfer out,Harrisstad,Money Laundering,6473663790,No Risk,1500
2024-06-01,-8803,Account 56633,T653507,Transfer out,Simpsonshire,Money Laundering,3077230916,No Risk,7326
2024-10-07,-1534,Account 95072,T302036,Transfer out,Barbaraberg,Investment Scam,8553147473,Risk,940
2024-04-15,-1067,Account 58493,T178645,Transfer out,South Nataliechester,Tax Evasion,4278216631,Risk,0
2024-06-01,-5539,Account 89843,T382470,Transfer out,Ryanside,Money Laundering,4529582826,Risk,0
2024-11-02,-352,Account 2463,T770207,Transfer out,Hahnton,Money Laundering,3136511866,Risk,0
2024-10-24,-5959,Account 91016,T591521,Transfer out,North Gina,Fraud,8577287391,No Risk,630
2024-08-22,-10000,Account 12545,T502866,Transfer out,Danielburgh,Investment Scam,6747996171,No Risk,6805
2024-11-19,-70,Account 50586,T938169,Transfer out,West Allison,Tax Evasion,9763875020,No Risk,0
2024-11-25,-1558,Account 30055,T219517,Transfer out,South Victor,Investment Scam,4919848669,No Risk,0
2024-09-17,-5724,Account 78888,T277895,Transfer out,Mosleyside,Tax Evasion,9790427842,Risk,0
2024-02-14,-4215,Account 13297,T892356,Transfer out,Millsmouth,Money Laundering,9486506406,No Risk,0
2025-01-11,-3729,Account 51831,T509044,Transfer out,Nortonview,Investment Scam,9919580256,No Risk,0
2024-06-26,-2585,Account 19492,T442214,Transfer out,South Robertview,Investment Scam,7321195699,No Risk,0
