Date of Transaction,Analyst Name,TransactionID,Account Number,Stage,Status,Transaction Amount,Alert Category
2024-12-21,Christine Davis,T332736,8837620961,Closed-Risk,Risk,457,Money Laundering
2024-01-19,William Melton,T161984,2153792093,Closed-No Risk,Risk,8966,Tax Evasion
2024-08-08,William Melton,T711443,3786509531,Closed-Risk,Risk,7856,Investment Scam
2024-09-14,Ryan Mejia,T429985,5231933113,In Progress,Risk,-5328,Money Laundering
2024-04-29,Robin Lowe,T534979,1917109056,Closed-Risk,Risk,2814,Investment Scam
2024-03-02,Martha Anderson,T977867,6816327245,Closed-Risk,Risk,-4637,Investment Scam
2024-12-21,Jeffrey Moore,T512578,8592690358,In Progress,Risk,9820,Money Laundering
2024-06-02,Ryan Mejia,T387387,3145385211,Closed-Risk,Risk,9475,Money Laundering
2024-04-08,Sheila Brown,T662119,8959854510,Closed-Risk,Risk,-6771,Investment Scam
2024-07-11,Melissa Holt,T852527,2821863106,Closed-No Risk,Risk,3427,Tax Evasion
2024-02-23,William Melton,T885901,2608780389,Closed-No Risk,Risk,3550,Money Laundering
2024-04-21,Ashley Orr,T588526,7112084326,In Progress,Risk,-8446,Tax Evasion
2024-07-11,Samuel Barry,T712933,8735773199,In Progress,Risk,-2009,Fraud
2024-05-20,Donna Snow,T393355,4836890737,Closed-No Risk,Risk,-3172,Investment Scam
2024-08-26,Melissa Holt,T393027,2751567728,In Progress,Risk,6018,Money Laundering
2024-07-12,Kathleen Raymond,T887506,1244022999,Closed-Risk,Risk,-5862,Investment Scam
2024-07-07,Robin Lowe,T630490,4457739389,In Progress,Risk,-9899,Investment Scam
2024-08-29,Donna Snow,T754156,6717499709,In Progress,Risk,1855,Tax Evasion
2024-03-13,Ryan Mejia,T929751,1727051287,Closed-No Risk,Risk,2463,Fraud
2024-11-26,Samuel Barry,T556885,9167442013,In Progress,Risk,4769,Fraud
2024-07-04,Jeffrey Moore,T140195,1115723167,In Progress,Risk,3198,Investment Scam
2024-11-25,Ashley Orr,T857885,2155802367,Closed-Risk,Risk,1696,Investment Scam
2024-09-25,Ryan Mejia,T578471,1703533893,In Progress,Risk,-7968,Fraud
2024-05-27,Kathleen Raymond,T853910,3595819845,Closed-Risk,Risk,9963,Investment Scam
2024-08-08,Kari Rhodes,T821772,8943225309,In Progress,Risk,359,Money Laundering
2024-08-03,Robin Lowe,T407157,7448638240,In Progress,Risk,-8143,Investment Scam
2024-11-03,Ashley Orr,T819086,8448775849,Closed-No Risk,Risk,-8674,Fraud
2024-02-19,Kari Rhodes,T154093,2133471766,Closed-No Risk,Risk,-1293,Fraud
2024-01-17,Whitney Wilson,T557421,2459028640,Closed-No Risk,Risk,2443,Money Laundering
2024-05-27,William Melton,T833376,9092554222,In Progress,Risk,-6270,Investment Scam
2025-01-08,Kari Rhodes,T938785,3550063398,Closed-Risk,Risk,-2909,Tax Evasion
2024-10-30,Donna Snow,T134595,7325147138,In Progress,Risk,8726,Investment Scam
2024-01-18,Melissa Holt,T316090,1200416177,Closed-No Risk,Risk,427,Money Laundering
2024-12-22,Kari Rhodes,T379592,7951048662,In Progress,Risk,-2002,Fraud
2024-10-13,Kathleen Raymond,T264512,4307007277,In Progress,Risk,-2828,Fraud
2024-10-27,Samuel Barry,T491643,6760929126,Closed-No Risk,Risk,-3850,Investment Scam
2024-08-08,Jeffrey Moore,T311037,1898338133,Closed-Risk,Risk,-1675,Investment Scam
2024-05-04,Whitney Wilson,T767998,9557396693,Closed-No Risk,Risk,1334,Money Laundering
2024-12-27,William Melton,T838253,9017590081,Closed-Risk,Risk,-2300,Money Laundering
2024-06-17,Sheila Brown,T940011,1285981204,In Progress,Risk,-357,Fraud
2024-05-15,Whitney Wilson,T596483,3589494365,In Progress,Risk,-1359,Fraud
2024-02-29,Jeffrey Moore,T574508,8353710114,In Progress,Risk,929,Money Laundering
2024-06-04,Kari Rhodes,T730421,3625182403,In Progress,Risk,-110,Tax Evasion
2024-06-08,Kari Rhodes,T982013,4933121716,Closed-No Risk,Risk,4635,Tax Evasion
2024-01-20,Ryan Mejia,T834270,1998631350,Closed-No Risk,Risk,7433,Fraud
2024-10-17,Robin Lowe,T265360,8524369396,In Progress,Risk,2615,Money Laundering
2024-08-17,Ashley Orr,T761101,2521494596,In Progress,Risk,6412,Tax Evasion
2024-08-01,Melissa Holt,T703782,1716505681,Closed-No Risk,Risk,9810,Investment Scam
2024-04-25,Donna Snow,T358605,5885894832,In Progress,Risk,-8690,Investment Scam
2024-07-02,Robin Lowe,T277684,8468467044,Closed-No Risk,Risk,2074,Tax Evasion
2024-08-18,Whitney Wilson,T998672,7247665488,In Progress,Risk,-8754,Investment Scam
2024-03-12,Christine Davis,T930614,3825814283,Closed-Risk,Risk,6365,Money Laundering
2024-04-12,Nicole Long,T896795,4124418092,Closed-Risk,Risk,329,Tax Evasion
2024-04-06,Whitney Wilson,T154246,9727550817,Closed-No Risk,Risk,2132,Money Laundering
2024-12-09,William Melton,T939576,3193337124,In Progress,Risk,-2396,Investment Scam
2024-11-23,Kathleen Raymond,T976172,6408355433,In Progress,Risk,8510,Tax Evasion
2024-03-19,Kari Rhodes,T612763,8020321501,Closed-No Risk,Risk,457,Money Laundering
2024-10-10,Kari Rhodes,T542541,7933855041,In Progress,Risk,5478,Money Laundering
2024-04-12,Whitney Wilson,T834981,7699083524,Closed-No Risk,Risk,-8852,Fraud
2024-11-21,Jeffrey Moore,T613073,6749218825,In Progress,Risk,2622,Money Laundering
2024-02-15,Kathleen Raymond,T473527,7786630881,Closed-Risk,Risk,-325,Tax Evasion
2025-01-13,Ashley Orr,T761938,5895735086,In Progress,Risk,3522,Fraud
2024-07-07,Ashley Orr,T195190,5670241748,In Progress,Risk,-2649,Money Laundering
2024-06-12,Jeffrey Moore,T684070,9199035418,Closed-No Risk,Risk,4390,Fraud
2024-05-29,Jeffrey Moore,T546210,4586245836,Closed-Risk,Risk,8279,Tax Evasion
2024-06-17,Jeffrey Moore,T548757,2959233193,In Progress,Risk,-2486,Investment Scam
2024-05-11,Christine Davis,T911378,1314266486,Closed-Risk,Risk,-4416,Tax Evasion
2024-09-27,Sheila Brown,T281136,3385807249,In Progress,Risk,1696,Money Laundering
2024-07-25,Nicole Long,T514927,9275310024,In Progress,Risk,-642,Tax Evasion
2024-04-06,Sheila Brown,T219980,6690923575,Closed-No Risk,Risk,-9232,Tax Evasion
2024-02-13,Melissa Holt,T674992,8092606187,Closed-No Risk,Risk,-2192,Fraud
2024-01-19,Melissa Holt,T874818,2802799955,Closed-No Risk,Risk,2898,Tax Evasion
2025-01-08,Kari Rhodes,T662505,4368912450,In Progress,Risk,-9454,Tax Evasion
2024-07-28,William Melton,T776131,9744185735,Closed-No Risk,Risk,-6205,Fraud
2024-09-29,Christine Davis,T730895,4830303133,Closed-No Risk,Risk,5731,Fraud
2024-09-24,Samuel Barry,T207218,9712686401,In Progress,Risk,1441,Fraud
2024-10-21,Robin Lowe,T781887,2015190276,In Progress,Risk,-1645,Fraud
2024-06-23,Sheila Brown,T846181,5909999013,Closed-Risk,Risk,-8725,Investment Scam
2024-03-01,Ryan Mejia,T492997,4795749308,Closed-Risk,Risk,-337,Investment Scam
2024-05-18,Nicole Long,T140301,4084431790,Closed-Risk,Risk,9417,Money Laundering
2024-03-30,Whitney Wilson,T220512,4226347527,Closed-No Risk,Risk,-8528,Money Laundering
2024-10-10,Ashley Orr,T395288,8152051647,In Progress,Risk,1705,Money Laundering
2024-07-05,Kari Rhodes,T962881,6918701236,Closed-No Risk,Risk,-1311,Fraud
2024-11-27,Christine Davis,T983657,2891543216,In Progress,Risk,-324,Investment Scam
2024-12-19,William Melton,T948131,4980386197,Closed-No Risk,Risk,687,Fraud
2024-06-22,Kathleen Raymond,T968506,9262014445,In Progress,Risk,4060,Tax Evasion
2024-05-14,Ashley Orr,T745449,5052693083,Closed-Risk,Risk,-6732,Fraud
2024-05-14,William Melton,T930096,6432166069,Closed-No Risk,Risk,1485,Money Laundering
2024-07-31,Robin Lowe,T997289,6846050855,Closed-Risk,Risk,-9536,Investment Scam
2024-11-06,Robin Lowe,T883339,7341852446,In Progress,Risk,2164,Investment Scam
2024-04-26,William Melton,T769601,6703012521,Closed-Risk,Risk,-7495,Money Laundering
2024-10-04,Jeffrey Moore,T828356,4966858414,Closed-Risk,Risk,5312,Money Laundering
2024-03-16,Sheila Brown,T924701,2903735311,In Progress,Risk,9219,Fraud
2024-11-01,Samuel Barry,T781542,4974027821,Closed-Risk,Risk,794,Fraud
2024-04-15,Sheila Brown,T782282,7036880627,Closed-No Risk,Risk,9233,Tax Evasion
2024-05-11,Kari Rhodes,T650158,6140115923,In Progress,Risk,-9695,Investment Scam
2024-02-18,Donna Snow,T590008,7938543545,In Progress,Risk,-4722,Money Laundering
2024-10-15,Whitney Wilson,T896376,6040857979,Closed-No Risk,Risk,5862,Tax Evasion
2024-04-11,Whitney Wilson,T627986,5834351321,Closed-Risk,Risk,4934,Tax Evasion
2024-10-12,Samuel Barry,T205107,6293751065,In Progress,Risk,-8643,Fraud
2025-01-06,William Melton,T402111,4076611231,In Progress,Risk,-6206,Fraud
2024-07-28,Whitney Wilson,T125222,7148265639,Closed-No Risk,Risk,7272,Investment Scam
2024-06-30,Kathleen Raymond,T967883,4680361279,In Progress,Risk,-969,Fraud
2024-09-22,Christine Davis,T649027,4602435740,Closed-Risk,Risk,-4886,Fraud
2024-09-14,Robin Lowe,T968970,9236162379,In Progress,Risk,-3131,Money Laundering
2024-01-21,Whitney Wilson,T747112,3367968975,In Progress,Risk,2358,Money Laundering
2024-06-30,Kathleen Raymond,T661146,5609921375,In Progress,Risk,-177,Investment Scam
2024-05-15,Samuel Barry,T584819,8537007228,In Progress,Risk,406,Money Laundering
2024-02-01,Samuel Barry,T851757,4982247038,In Progress,Risk,-306,Investment Scam
2024-03-04,Whitney Wilson,T513508,2860580653,In Progress,Risk,-9155,Investment Scam
2024-12-05,Kari Rhodes,T420149,1516199754,In Progress,Risk,-8526,Tax Evasion
2024-09-10,Samuel Barry,T783303,5073783083,Closed-Risk,Risk,6844,Tax Evasion
2025-01-03,Melissa Holt,T916656,5969390467,In Progress,Risk,6212,Investment Scam
2024-07-28,Donna Snow,T615414,9459667417,In Progress,Risk,-4621,Tax Evasion
2024-07-02,Sheila Brown,T594389,7298368475,In Progress,Risk,4978,Fraud
2024-04-05,Christine Davis,T798215,5493608742,Closed-No Risk,Risk,-6504,Investment Scam
2024-07-27,Whitney Wilson,T353255,3177019490,Closed-No Risk,Risk,1479,Fraud
2024-12-11,Samuel Barry,T951098,9022151875,In Progress,Risk,5679,Tax Evasion
2024-04-07,Samuel Barry,T297939,4798280960,Closed-No Risk,Risk,3427,Money Laundering
2024-02-21,Ryan Mejia,T688319,2108616294,Closed-No Risk,Risk,8167,Money Laundering
2024-12-31,Donna Snow,T415220,3580327365,In Progress,Risk,8875,Money Laundering
2024-01-29,Nicole Long,T982621,7776710278,Closed-Risk,Risk,8259,Money Laundering
2025-01-12,Ryan Mejia,T317881,1649281369,In Progress,Risk,9106,Money Laundering
2024-07-14,Jeffrey Moore,T540725,6499218970,Closed-Risk,Risk,8949,Money Laundering
2024-10-18,Ryan Mejia,T332416,2266659271,Closed-Risk,Risk,-1974,Money Laundering
2024-05-06,Kathleen Raymond,T758375,3852012304,In Progress,Risk,-8169,Tax Evasion
2024-06-07,Jeffrey Moore,T545217,8632063354,In Progress,Risk,-9301,Money Laundering
2024-04-01,Ryan Mejia,T211364,6071250721,Closed-No Risk,Risk,132,Fraud
2024-06-04,Sheila Brown,T933916,5827020924,In Progress,Risk,-5685,Tax Evasion
2024-08-05,Jeffrey Moore,T709630,7707864405,Closed-No Risk,Risk,-9540,Money Laundering
2024-10-06,Ryan Mejia,T701517,5386264150,In Progress,Risk,-2213,Money Laundering
2025-01-07,Jeffrey Moore,T336882,6593448317,In Progress,Risk,780,Fraud
2024-09-21,Kari Rhodes,T590439,4389461158,In Progress,Risk,7533,Tax Evasion
2024-08-14,Sheila Brown,T228536,2101580200,In Progress,Risk,8379,Tax Evasion
2024-04-01,Melissa Holt,T963295,1804262704,In Progress,Risk,9558,Money Laundering
2024-12-26,Sheila Brown,T849988,2015275969,In Progress,Risk,2979,Money Laundering
2024-05-31,William Melton,T421153,4354949370,In Progress,Risk,8414,Money Laundering
2024-06-11,Whitney Wilson,T657719,5769712163,In Progress,Risk,4898,Tax Evasion
2024-07-07,William Melton,T230083,7875147729,Closed-No Risk,Risk,8795,Money Laundering
2024-08-26,Robin Lowe,T530930,6626753038,In Progress,Risk,-5589,Tax Evasion
2024-12-30,Whitney Wilson,T390305,5087014253,In Progress,Risk,-8398,Tax Evasion
2024-04-25,Kathleen Raymond,T751930,1769962376,Closed-No Risk,Risk,6967,Investment Scam
2024-08-22,Ashley Orr,T870343,4355181166,In Progress,Risk,-4727,Tax Evasion
2024-05-22,Jeffrey Moore,T214445,4448949775,In Progress,Risk,409,Tax Evasion
2024-10-07,Nicole Long,T215589,8480474794,In Progress,Risk,-8159,Tax Evasion
2024-09-17,Sheila Brown,T615508,5837128725,Closed-No Risk,Risk,-926,Money Laundering
2024-04-19,William Melton,T876975,2361946861,Closed-Risk,Risk,8385,Tax Evasion
2024-09-19,Nicole Long,T681414,2745992749,In Progress,Risk,8903,Tax Evasion
2024-08-03,Ashley Orr,T871777,3932279639,In Progress,Risk,8855,Tax Evasion
2024-07-22,Ashley Orr,T265965,2081566826,Closed-Risk,Risk,-5354,Investment Scam
2024-10-23,Ashley Orr,T749323,1053409493,In Progress,Risk,4436,Fraud
2024-07-23,Whitney Wilson,T819857,5816450397,Closed-Risk,Risk,-9222,Investment Scam
2024-03-06,Melissa Holt,T788662,3135036218,Closed-Risk,Risk,7630,Fraud
2024-12-06,Nicole Long,T421587,5015834449,Closed-Risk,Risk,2598,Money Laundering
2024-11-21,Kari Rhodes,T106609,5653339396,In Progress,Risk,-1745,Money Laundering
2024-08-10,Kathleen Raymond,T766324,4858912997,In Progress,Risk,-5088,Investment Scam
2024-09-25,Nicole Long,T346758,5247727640,In Progress,Risk,4850,Fraud
2024-03-09,Jeffrey Moore,T468982,6639733410,Closed-No Risk,Risk,-3307,Fraud
2024-10-26,Melissa Holt,T908129,1505164456,In Progress,Risk,-5822,Money Laundering
2024-12-22,Ryan Mejia,T144415,3792209702,In Progress,Risk,8430,Money Laundering
2024-08-10,Samuel Barry,T493499,3106506213,Closed-Risk,Risk,-5836,Money Laundering
2024-09-04,Christine Davis,T290411,4133115585,In Progress,Risk,2890,Fraud
2024-08-02,Christine Davis,T155867,9773573004,In Progress,Risk,-8830,Money Laundering
2024-07-30,Kari Rhodes,T509384,5266582155,In Progress,Risk,3660,Money Laundering
2024-12-14,Jeffrey Moore,T507728,4915343424,Closed-Risk,Risk,6594,Fraud
2024-07-19,Ashley Orr,T766748,7153055464,Closed-Risk,Risk,3593,Money Laundering
2024-11-27,Ashley Orr,T238462,4895828845,Closed-Risk,Risk,5150,Investment Scam
2024-10-29,Ryan Mejia,T724281,6253943827,In Progress,Risk,-7012,Money Laundering
2024-10-25,Martha Anderson,T271638,6263589455,In Progress,Risk,-6881,Tax Evasion
2024-06-15,Christine Davis,T467620,6367498192,Closed-No Risk,Risk,-787,Investment Scam
2024-09-14,Ashley Orr,T917154,6232533016,In Progress,Risk,6424,Tax Evasion
2024-05-28,Samuel Barry,T850559,3273919635,Closed-Risk,Risk,8325,Money Laundering
2024-05-30,Nicole Long,T405529,1399709424,Closed-Risk,Risk,-7762,Tax Evasion
2024-02-28,Ryan Mejia,T378353,7126622083,In Progress,Risk,-8100,Fraud
2024-03-31,Kathleen Raymond,T773343,9126322456,Closed-Risk,Risk,-7888,Money Laundering
2024-05-04,Robin Lowe,T599446,4951247975,Closed-Risk,Risk,-7833,Investment Scam
2025-01-05,Robin Lowe,T883777,8348292539,Closed-Risk,Risk,950,Investment Scam
2024-07-08,Donna Snow,T844099,8409786483,Closed-Risk,Risk,-8451,Investment Scam
2024-09-28,Donna Snow,T809296,1874722015,Closed-No Risk,Risk,-5933,Fraud
2024-06-10,Samuel Barry,T659618,4238289147,Closed-No Risk,Risk,4306,Tax Evasion
2024-11-07,Melissa Holt,T501005,8249648959,In Progress,Risk,-5536,Tax Evasion
2024-11-30,Ryan Mejia,T505615,2807903104,In Progress,Risk,-6976,Investment Scam
2024-11-10,Melissa Holt,T621291,5837101381,Closed-No Risk,Risk,3552,Tax Evasion
2024-01-21,Ashley Orr,T547993,7751385720,Closed-Risk,Risk,-495,Money Laundering
2024-05-24,Ryan Mejia,T332629,1963732263,Closed-Risk,Risk,-6357,Investment Scam
2024-04-18,Nicole Long,T946630,8845935698,In Progress,Risk,5505,Fraud
2024-05-12,Sheila Brown,T768136,5266896281,Closed-Risk,Risk,2352,Investment Scam
2024-07-14,Christine Davis,T331485,9323037843,In Progress,Risk,3246,Tax Evasion
2025-01-11,Ryan Mejia,T191054,9666209329,In Progress,Risk,-5109,Fraud
2024-02-03,Jeffrey Moore,T642225,7433742163,Closed-Risk,Risk,-8835,Fraud
2024-05-11,Ryan Mejia,T741738,5724958589,Closed-No Risk,Risk,-3598,Money Laundering
2024-07-05,Ryan Mejia,T477103,9072159660,Closed-Risk,Risk,-3384,Tax Evasion
2024-09-23,Samuel Barry,T451580,3034162063,Closed-No Risk,Risk,4165,Fraud
2025-01-10,Ashley Orr,T380446,5358034721,In Progress,Risk,9008,Tax Evasion
2024-05-28,Jeffrey Moore,T767882,1593857118,Closed-Risk,Risk,-5964,Money Laundering
2024-03-17,Jeffrey Moore,T926670,4079870369,Closed-Risk,Risk,-737,Tax Evasion
2024-09-09,Ashley Orr,T913672,4226786063,Closed-Risk,Risk,6954,Fraud
2024-05-24,Sheila Brown,T539602,1994418556,Closed-Risk,Risk,-9337,Investment Scam
2024-07-17,Kathleen Raymond,T128550,1024383357,In Progress,Risk,6932,Tax Evasion
2024-05-20,Kari Rhodes,T283137,8318030298,Closed-No Risk,Risk,-4710,Investment Scam
2024-09-06,Samuel Barry,T513874,3268737582,In Progress,Risk,1271,Fraud
2024-09-12,Ashley Orr,T267987,9767658347,In Progress,Risk,-8090,Money Laundering
2024-01-28,Kari Rhodes,T967468,2427869474,In Progress,Risk,6968,Money Laundering
2024-10-17,Martha Anderson,T723013,5255903742,Closed-Risk,Risk,8982,Fraud
2024-04-26,Martha Anderson,T794504,7352984191,Closed-Risk,Risk,-3663,Fraud
2024-05-12,Nicole Long,T306167,6246134234,Closed-No Risk,Risk,-1460,Money Laundering
2024-09-15,Kathleen Raymond,T762238,9051947093,In Progress,Risk,8933,Tax Evasion
2024-06-29,Donna Snow,T781483,4034820837,Closed-Risk,Risk,-1775,Investment Scam
2024-12-29,Nicole Long,T178443,4883542467,In Progress,Risk,2204,Fraud
2024-11-17,Samuel Barry,T201684,1918720243,Closed-Risk,Risk,-9308,Investment Scam
2024-12-30,Whitney Wilson,T807122,2385735619,In Progress,Risk,-4062,Investment Scam
2024-04-14,Melissa Holt,T617687,5627231389,Closed-Risk,Risk,-3441,Investment Scam
2024-03-12,Whitney Wilson,T794704,2230683355,Closed-Risk,Risk,4845,Money Laundering
2024-07-15,Kari Rhodes,T683842,2017644988,Closed-Risk,Risk,-7570,Tax Evasion
2024-10-07,Kari Rhodes,T183353,8846098363,In Progress,Risk,-3061,Tax Evasion
2024-01-29,Kathleen Raymond,T427410,9900478335,Closed-Risk,Risk,-2443,Tax Evasion
2024-10-22,Nicole Long,T707864,8278378611,Closed-Risk,Risk,2421,Money Laundering
2024-02-22,Samuel Barry,T629547,9400595180,In Progress,Risk,-1507,Investment Scam
2024-02-18,Ashley Orr,T317896,1893288715,Closed-No Risk,Risk,-7628,Fraud
2024-12-18,Samuel Barry,T818769,9903354100,In Progress,Risk,-2034,Investment Scam
2024-09-16,Whitney Wilson,T197865,4825492733,Closed-No Risk,Risk,-6237,Fraud
2024-03-25,Samuel Barry,T218239,3167347959,Closed-No Risk,Risk,6492,Tax Evasion
2024-02-07,Sheila Brown,T201175,1748004131,Closed-Risk,Risk,9248,Fraud
2024-05-08,Jeffrey Moore,T786001,8804836710,In Progress,Risk,-2990,Fraud
2024-07-21,Martha Anderson,T511801,3209983056,In Progress,Risk,-8250,Money Laundering
2024-05-03,Kathleen Raymond,T321468,2262040518,In Progress,Risk,-9170,Tax Evasion
2024-08-24,Jeffrey Moore,T586100,5378855466,In Progress,Risk,4198,Tax Evasion
2024-12-08,Robin Lowe,T675739,1254656893,In Progress,Risk,-778,Fraud
2024-11-10,Ashley Orr,T907461,8242305466,In Progress,Risk,9956,Investment Scam
2024-02-04,Robin Lowe,T537503,5278311503,Closed-Risk,Risk,7045,Tax Evasion
2024-03-16,Donna Snow,T381577,8971829176,Closed-Risk,Risk,-3348,Fraud
2024-06-23,Martha Anderson,T588993,1322848762,In Progress,Risk,3529,Tax Evasion
2024-12-24,Samuel Barry,T744612,8831662434,Closed-Risk,Risk,-6497,Tax Evasion
2024-09-30,Ryan Mejia,T293318,7864429647,In Progress,Risk,-1447,Fraud
2024-09-23,Ryan Mejia,T358794,8476634414,In Progress,Risk,-1616,Investment Scam
2024-07-09,Kari Rhodes,T120902,2165131416,Closed-No Risk,Risk,9304,Tax Evasion
2024-12-20,Ashley Orr,T531372,7512980593,In Progress,Risk,7480,Investment Scam
2024-10-01,Kari Rhodes,T710711,7157589972,In Progress,Risk,-2423,Fraud
2024-03-15,William Melton,T180092,7488732057,Closed-Risk,Risk,-2955,Fraud
2024-12-28,Sheila Brown,T112050,1264589127,In Progress,Risk,-4418,Money Laundering
2024-09-26,Kathleen Raymond,T710600,2669223628,In Progress,Risk,8851,Fraud
2024-10-07,Donna Snow,T481686,5649450901,Closed-No Risk,Risk,9165,Tax Evasion
2024-09-09,Kathleen Raymond,T179054,9853434743,In Progress,Risk,1221,Money Laundering
2024-10-29,Jeffrey Moore,T562273,4851448330,Closed-Risk,Risk,1093,Investment Scam
2024-06-24,Jeffrey Moore,T843518,8221286043,In Progress,Risk,3789,Fraud
2024-12-20,William Melton,T351693,6681640770,In Progress,Risk,-7596,Money Laundering
2024-10-28,Martha Anderson,T241251,4252642374,Closed-Risk,Risk,-5600,Fraud
2024-07-27,Ryan Mejia,T603059,1501086404,In Progress,Risk,-1461,Money Laundering
2024-07-05,William Melton,T612754,5676591741,In Progress,Risk,8210,Money Laundering
2024-07-26,Ryan Mejia,T563859,4170545186,In Progress,Risk,8605,Money Laundering
2024-02-12,Kari Rhodes,T305046,3947796601,Closed-No Risk,Risk,1717,Tax Evasion
2024-09-22,Whitney Wilson,T435424,4870049998,Closed-No Risk,Risk,-9659,Fraud
2024-05-04,Christine Davis,T424543,1391936286,Closed-No Risk,Risk,-6809,Fraud
2024-05-19,Donna Snow,T506958,2547418161,Closed-Risk,Risk,-9214,Money Laundering
2024-06-16,Ryan Mejia,T185650,2940272524,In Progress,Risk,6618,Fraud
2024-05-21,Christine Davis,T552917,6782681054,In Progress,Risk,9785,Tax Evasion
2024-12-03,Ryan Mejia,T621235,8443495147,In Progress,Risk,5650,Tax Evasion
2025-01-08,Kari Rhodes,T348810,3405533717,In Progress,Risk,-4669,Fraud
2024-09-02,Ashley Orr,T359058,2622778700,In Progress,Risk,2554,Fraud
2024-06-20,Christine Davis,T340418,7677236185,In Progress,Risk,-903,Money Laundering
2025-01-13,Kari Rhodes,T803145,3231342639,Closed-No Risk,Risk,2640,Fraud
2024-11-09,Donna Snow,T323797,7830101513,In Progress,Risk,-1554,Tax Evasion
2024-09-25,Whitney Wilson,T838325,1178798458,In Progress,Risk,-8734,Investment Scam
2024-12-08,Jeffrey Moore,T503905,7302145646,In Progress,Risk,1816,Fraud
2024-05-05,Robin Lowe,T125318,4255196812,Closed-Risk,Risk,-9319,Fraud
2024-11-21,Melissa Holt,T503979,7616434333,In Progress,Risk,-3166,Tax Evasion
2024-03-18,Melissa Holt,T630476,9772783652,In Progress,Risk,-3759,Tax Evasion
2024-09-04,Ashley Orr,T122248,5177525979,Closed-Risk,Risk,7358,Fraud
2024-05-13,Ashley Orr,T244366,5699253495,Closed-Risk,Risk,206,Fraud
2024-07-06,Whitney Wilson,T739433,1889213555,Closed-Risk,Risk,-1340,Investment Scam
2024-11-05,Ashley Orr,T393224,7403070675,Closed-Risk,Risk,3797,Investment Scam
2024-01-23,Melissa Holt,T126210,6212184389,Closed-No Risk,Risk,9708,Money Laundering
2024-06-16,Martha Anderson,T327462,4945685489,Closed-No Risk,Risk,-6291,Investment Scam
2024-03-27,Samuel Barry,T748677,8464565534,Closed-Risk,Risk,-8780,Investment Scam
2024-04-23,Ashley Orr,T207152,7310614420,In Progress,Risk,-4685,Fraud
2024-08-28,Ashley Orr,T628196,7854380202,Closed-Risk,Risk,1579,Tax Evasion
2024-07-04,Jeffrey Moore,T109282,1780076117,In Progress,Risk,-5352,Money Laundering
2024-01-29,Ashley Orr,T868583,3926037081,Closed-Risk,Risk,-6086,Investment Scam
2024-04-17,Ryan Mejia,T872246,9994560314,Closed-Risk,Risk,-6566,Investment Scam
2024-08-09,Whitney Wilson,T102690,7832393732,In Progress,Risk,-744,Tax Evasion
2024-06-16,Ryan Mejia,T464592,9710287609,Closed-No Risk,Risk,-4735,Fraud
2024-09-22,Kathleen Raymond,T983242,4361640764,In Progress,Risk,-3948,Tax Evasion
2024-11-21,Kari Rhodes,T992358,5947864029,In Progress,Risk,-1549,Tax Evasion
2024-03-15,Martha Anderson,T232807,7117552971,Closed-Risk,Risk,2716,Tax Evasion
2024-08-01,Melissa Holt,T165932,5775161391,In Progress,Risk,-9415,Money Laundering
2024-01-30,Kari Rhodes,T668817,4102375548,Closed-Risk,Risk,-2361,Investment Scam
2024-09-10,Kari Rhodes,T237747,6649464000,In Progress,Risk,-8300,Investment Scam
2024-01-17,Christine Davis,T638743,7492725589,Closed-Risk,Risk,-8748,Investment Scam
2024-04-03,Sheila Brown,T401320,2395119375,In Progress,Risk,267,Money Laundering
2024-04-13,Ashley Orr,T896837,6519152343,Closed-Risk,Risk,3343,Tax Evasion
2024-04-07,Melissa Holt,T368934,4448543112,Closed-No Risk,Risk,9393,Fraud
2024-10-31,Kari Rhodes,T283103,9796105000,In Progress,Risk,-3771,Investment Scam
2024-05-01,Jeffrey Moore,T874101,5963600446,Closed-No Risk,Risk,-6092,Investment Scam
2025-01-11,Sheila Brown,T273389,5866797997,In Progress,Risk,3355,Tax Evasion
2024-09-30,Nicole Long,T243784,1611863619,In Progress,Risk,-1859,Money Laundering
2024-12-04,Donna Snow,T480133,5511522011,Closed-No Risk,Risk,9147,Investment Scam
2024-07-11,Martha Anderson,T714401,9903041319,In Progress,Risk,5290,Fraud
2024-03-28,Whitney Wilson,T252148,8388482744,Closed-No Risk,Risk,9233,Money Laundering
2024-10-24,William Melton,T544831,9972781442,Closed-No Risk,Risk,-4167,Tax Evasion
2024-06-27,Ashley Orr,T835372,7108180887,Closed-No Risk,Risk,-477,Tax Evasion
2024-08-25,Melissa Holt,T399167,8021827880,In Progress,Risk,7219,Fraud
2024-10-10,Ashley Orr,T536988,8869360852,In Progress,Risk,-7494,Fraud
2024-11-27,William Melton,T285159,2720959540,In Progress,Risk,7257,Money Laundering
2024-10-15,Kathleen Raymond,T788442,7839095643,Closed-Risk,Risk,972,Tax Evasion
2024-07-15,Robin Lowe,T923398,6148904111,Closed-No Risk,Risk,-4193,Fraud
2024-07-06,Donna Snow,T363794,4209349722,In Progress,Risk,1901,Money Laundering
2024-11-15,Sheila Brown,T589689,1276065252,In Progress,Risk,-6595,Tax Evasion
2024-11-21,Donna Snow,T979503,6772318002,In Progress,Risk,-7751,Investment Scam
2024-05-19,Whitney Wilson,T837439,3277686288,In Progress,Risk,9515,Money Laundering
